user_id,movie_id,rating,timestamp
1,122,5.0,838985046
1,185,5.0,838983525
1,231,5.0,838983392
1,292,5.0,838983421
1,316,5.0,838983392
1,329,5.0,838983392
1,355,5.0,838984474
1,356,5.0,838983653
1,362,5.0,838984885
1,364,5.0,838983707
1,370,5.0,838984596
1,377,5.0,838983834
1,420,5.0,838983834
1,466,5.0,838984679
1,480,5.0,838983653
1,520,5.0,838984679
1,539,5.0,838984068
1,586,5.0,838984068
1,588,5.0,838983339
1,589,5.0,838983778
1,594,5.0,838984679
1,616,5.0,838984941
2,110,5.0,868245777
2,151,3.0,868246450
2,260,5.0,868244562
2,376,3.0,868245920
2,539,3.0,868246262
2,590,5.0,868245608
2,648,2.0,868244699
2,719,3.0,868246191
2,733,3.0,868244562
2,736,3.0,868244698
2,780,3.0,868244698
2,786,3.0,868244562
2,802,2.0,868244603
2,858,2.0,868245645
2,1049,3.0,868245920
2,1073,3.0,868244562
2,1210,4.0,868245644
2,1356,3.0,868244603
2,1391,3.0,868246006
2,1544,3.0,868245920
3,110,4.5,1136075500
3,151,4.5,1133571026
3,213,5.0,1136075789
3,590,3.5,1136075494
3,1148,4.0,1133571121
3,1246,4.0,1133570967
3,1252,4.0,1133571071
3,1276,3.5,1133571205
3,1288,3.0,1133571035
3,1408,3.5,1133571145
3,1552,2.0,1133571139
3,1564,4.5,1136418605
3,1597,4.5,1133571226
3,1674,4.5,1133571182
3,3408,4.0,1164885590
3,3684,4.5,1136075915
3,4535,4.0,1164885526
3,4677,4.0,1136075924
3,4995,4.5,1133571200
3,5299,3.0,1164885617
3,5505,2.0,1136075848
3,5527,4.5,1164885648
3,5952,3.5,1133570984
3,6287,3.0,1136075647
3,6377,4.0,1133571263
3,6539,5.0,1133571238
3,7153,4.0,1133571171
3,7155,3.5,1164885564
3,8529,4.0,1136075616
3,8533,4.5,1136418593
3,8783,5.0,1136075857
3,27821,4.5,1136418616
3,33750,3.5,1164885688
4,21,3.0,844416980
4,34,5.0,844416936
4,39,3.0,844417037
4,110,5.0,844416866
4,150,5.0,844416656
4,153,5.0,844416699
4,161,5.0,844416835
4,165,5.0,844416699
4,208,3.0,844416866
4,231,1.0,844416742
4,253,3.0,844416834
4,266,5.0,844417070
4,292,3.0,844416796
4,316,5.0,844416742
4,317,5.0,844417037
4,329,5.0,844416796
4,344,2.0,844416699
4,349,3.0,844416699
4,364,5.0,844416892
4,367,3.0,844416936
4,377,3.0,844416892
4,380,3.0,844416656
4,410,5.0,844416936
4,420,3.0,844417004
4,432,3.0,844417070
4,434,3.0,844416796
4,435,3.0,844417070
4,440,3.0,844417037
4,480,5.0,844416834
4,500,5.0,844416936
4,586,5.0,844416936
4,587,5.0,844416980
4,588,5.0,844416699
4,589,5.0,844416866
4,590,5.0,844416655
4,592,5.0,844416655
4,595,5.0,844416742
4,597,3.0,844416980
5,1,1.0,857911264
5,7,3.0,857911357
5,25,3.0,857911265
5,28,3.0,857913507
5,30,5.0,857911752
5,32,5.0,857911264
5,47,5.0,857912492
5,52,4.0,857911416
5,57,3.0,857912840
5,58,3.0,857911416
5,85,3.0,857912791
5,111,4.0,857912365
5,141,3.0,857911264
5,171,3.0,857912492
5,194,3.0,857912933
5,230,4.0,857912441
5,232,3.0,857912933
5,235,4.0,857912535
5,242,3.0,857912738
5,249,4.0,857912968
5,253,3.0,857912364
5,299,3.0,857912365
5,306,3.0,857912441
5,307,4.0,857912441
5,308,3.0,857912492
5,321,3.0,857912738
5,326,5.0,857912593
5,334,5.0,857912840
5,345,3.0,857912365
5,348,4.0,857912657
5,412,5.0,857912441
5,446,5.0,857912933
5,475,3.0,857912656
5,477,3.0,857912840
5,495,5.0,857912792
5,508,3.0,857912535
5,509,4.0,857912365
5,515,3.0,857912492
5,527,5.0,857912593
5,532,5.0,857912593
5,535,3.0,857912441
5,538,5.0,857912492
5,541,5.0,857912657
5,562,5.0,857911752
5,592,3.0,857912657
5,593,4.0,857912364
5,608,5.0,857911357
5,648,3.0,857911264
5,708,1.0,857911416
5,736,1.0,857911264
5,778,4.0,857911485
5,780,1.0,857911264
5,818,3.0,857911722
5,858,4.0,857912738
5,903,4.0,857912792
5,912,4.0,857912791
5,919,5.0,857912968
5,920,5.0,857912840
5,923,5.0,857912593
5,926,5.0,857913376
5,969,4.0,857913475
5,1041,4.0,857911772
5,1046,5.0,857912102
5,1073,4.0,857911357
5,1080,4.0,857912933
5,1094,4.0,857912657
5,1096,5.0,857912840
5,1097,3.0,857912738
5,1103,4.0,857912968
5,1104,5.0,857912535
5,1172,4.0,857913475
5,1183,5.0,857911690
5,1199,5.0,857913206
5,1206,4.0,857912791
5,1207,4.0,857913143
5,1219,5.0,857912593
5,1221,4.0,857912738
5,1225,5.0,857912791
5,1230,5.0,857912968
5,1235,5.0,857913376
5,1244,4.0,857913143
5,1247,4.0,857912933
5,1258,4.0,857913337
5,1280,4.0,857913337
5,1295,5.0,857913018
5,1300,4.0,857913553
5,1391,1.0,857911690
6,32,5.0,1001083687
6,260,5.0,1001083120
6,349,4.0,1001083270
